Participant,Trial,Correct,Age,Language,AgentType,SentenceType
EKMAX077,Larp,1,33.4,English,DifferentAgent,NA
EKMAX078,Sem,0,37,English,SameAgent,NA
EKMAX078,Blick,0,37,English,SameAgent,NA
EKMAX078,Larp,0,37,English,SameAgent,NA
EKMAX080,Sem,1,44.7,English,DifferentAgent,NA
EKMAX080,Blick,1,44.7,English,DifferentAgent,NA
EKMAX080,Larp,0,44.7,English,DifferentAgent,NA
EKMAX081,Sem,0,37.9,English,DifferentAgent,NA
EKMAX081,Blick,0,37.9,English,DifferentAgent,NA
EKMAX082,Sem,1,33,English,DifferentAgent,NA
EKMAX082,Blick,1,33,English,DifferentAgent,NA
EKMAX082,Larp,1,33,English,DifferentAgent,NA
EKMAX083,Sem,0,30.5,English,DifferentAgent,NA
EKMAX083,Blick,1,30.5,English,DifferentAgent,NA
EKMAX083,Larp,1,30.5,English,DifferentAgent,NA
EKMAX084,Sem,1,36.9,English,SameAgent,NA
EKMAX084,Blick,1,36.9,English,SameAgent,NA
EKMAX084,Larp,1,36.9,English,SameAgent,NA
EKMAX085,Sem,1,31.2,English,SameAgent,NA
EKMAX085,Blick,1,31.2,English,SameAgent,NA
EKMAX085,Larp,1,31.2,English,SameAgent,NA
EKMAX087,Sem,1,31.1,English,SameAgent,NA
EKMAX087,Blick,0,31.1,English,SameAgent,NA
EKMAX087,Larp,1,31.1,English,SameAgent,NA
EKMAX089,Sem,0,38,English,SameAgent,NA
EKMAX089,Blick,1,38,English,SameAgent,NA
EKMAX089,Larp,1,38,English,SameAgent,NA
EKMAX090,Sem,1,34.9,English,DifferentAgent,NA
EKMAX090,Blick,0,34.9,English,DifferentAgent,NA
EKMAX090,Larp,0,34.9,English,DifferentAgent,NA
EKMAX094,Sem,0,30.6,English,SameAgent,NA
EKMAX094,Blick,1,30.6,English,SameAgent,NA
EKMAX094,Larp,0,30.6,English,SameAgent,NA
EKMAX095,Sem,0,43.2,English,SameAgent,NA
EKMAX095,Blick,0,43.2,English,SameAgent,NA
EKMAX095,Larp,1,43.2,English,SameAgent,NA
EKMAX096,Sem,0,43.2,English,SameAgent,NA
EKMAX096,Blick,1,43.2,English,SameAgent,NA
EKMAX096,Larp,0,43.2,English,SameAgent,NA
EKMAX099,Sem,0,31.7,English,SameAgent,NA
EKMAX099,Blick,0,31.7,English,SameAgent,NA
EKMAX099,Larp,0,31.7,English,SameAgent,NA
EKMAX100,Sem,0,36.6,English,SameAgent,NA
EKMAX100,Blick,1,36.6,English,SameAgent,NA
EKMAX100,Larp,1,36.6,English,SameAgent,NA
EKMAX103,Sem,1,44.3,English,DifferentAgent,NA
EKMAX103,Blick,0,44.3,English,DifferentAgent,NA
EKMAX103,Larp,1,44.3,English,DifferentAgent,NA
EKMAX105,Sem,1,52,English,SameAgent,NA
EKMAX105,Blick,0,52,English,SameAgent,NA
EKMAX106,Sem,0,35,English,DifferentAgent,NA
EKMAX106,Blick,1,35,English,DifferentAgent,NA
EKMAX106,Larp,1,35,English,DifferentAgent,NA
