Participant,Trial,Correct,Age,Language,AgentType,SentenceType,Experiment
EKMAX051,Sem,0,55.7,English,SameAgent,NA,experiment1
EKMAX051,Blick,1,55.7,English,SameAgent,NA,experiment1
EKMAX051,Larp,0,55.7,English,SameAgent,NA,experiment1
EKMAX052,Sem,0,38.1,English,SameAgent,NA,experiment1
EKMAX052,Blick,1,38.1,English,SameAgent,NA,experiment1
EKMAX052,Larp,1,38.1,English,SameAgent,NA,experiment1
EKMAX053,Sem,0,36.5,English,SameAgent,NA,experiment1
EKMAX053,Blick,1,36.5,English,SameAgent,NA,experiment1
EKMAX053,Larp,1,36.5,English,SameAgent,NA,experiment1
EKMAX054,Sem,0,47.5,English,DifferentAgent,NA,experiment1
EKMAX054,Blick,0,47.5,English,DifferentAgent,NA,experiment1
EKMAX054,Larp,1,47.5,English,DifferentAgent,NA,experiment1
EKMAX056,Sem,0,37.3,English,DifferentAgent,NA,experiment1
EKMAX056,Blick,1,37.3,English,DifferentAgent,NA,experiment1
EKMAX056,Larp,1,37.3,English,DifferentAgent,NA,experiment1
EKMAX057,Sem,1,34.1,English,SameAgent,NA,experiment1
EKMAX057,Blick,0,34.1,English,SameAgent,NA,experiment1
EKMAX057,Larp,0,34.1,English,SameAgent,NA,experiment1
EKMAX058,Sem,1,54.4,English,DifferentAgent,NA,experiment1
EKMAX058,Blick,1,54.4,English,DifferentAgent,NA,experiment1
EKMAX058,Larp,0,54.4,English,DifferentAgent,NA,experiment1
EKMAX059,Sem,1,36,English,SameAgent,NA,experiment1
EKMAX059,Blick,1,36,English,SameAgent,NA,experiment1
EKMAX059,Larp,1,36,English,SameAgent,NA,experiment1
EKMAX061,Sem,1,36.3,English,SameAgent,NA,experiment1
EKMAX061,Blick,0,36.3,English,SameAgent,NA,experiment1
EKMAX061,Larp,0,36.3,English,SameAgent,NA,experiment1
EKMAX062,Sem,0,34,English,SameAgent,NA,experiment1
EKMAX062,Blick,1,34,English,SameAgent,NA,experiment1
EKMAX062,Larp,1,34,English,SameAgent,NA,experiment1
EKMAX063,Sem,0,39.7,English,DifferentAgent,NA,experiment1
EKMAX063,Blick,1,39.7,English,DifferentAgent,NA,experiment1
EKMAX063,Larp,0,39.7,English,DifferentAgent,NA,experiment1
EKMAX071,Sem,1,55.2,English,SameAgent,NA,experiment1
EKMAX071,Blick,1,55.2,English,SameAgent,NA,experiment1
EKMAX071,Larp,0,55.2,English,SameAgent,NA,experiment1
EKMAX073,Sem,1,43.2,English,SameAgent,NA,experiment1
EKMAX073,Blick,1,43.2,English,SameAgent,NA,experiment1
EKMAX073,Larp,1,43.2,English,SameAgent,NA,experiment1
EKMAX075,Sem,1,43.6,English,DifferentAgent,NA,experiment1
EKMAX075,Blick,0,43.6,English,DifferentAgent,NA,experiment1
EKMAX075,Larp,1,43.6,English,DifferentAgent,NA,experiment1
EKMAX076,Sem,0,42.4,English,DifferentAgent,NA,experiment1
EKMAX076,Blick,1,42.4,English,DifferentAgent,NA,experiment1
EKMAX076,Larp,1,42.4,English,DifferentAgent,NA,experiment1
EKMAX077,Sem,0,33.4,English,DifferentAgent,NA,experiment1
EKMAX077,Blick,1,33.4,English,DifferentAgent,NA,experiment1
EKMAX077,Larp,1,33.4,English,DifferentAgent,NA,experiment1
EKMAX078,Sem,0,37,English,SameAgent,NA,experiment1
EKMAX078,Blick,0,37,English,SameAgent,NA,experiment1
EKMAX078,Larp,0,37,English,SameAgent,NA,experiment1
